Participant,Item,Preview,Frequency,Condition,IA_SKIP,FFD
y1,1,I,H,IH,0,307
y1,3,I,H,IH,0,264
y1,6,I,H,IH,0,244
y1,7,I,H,IH,0,172
y1,8,I,H,IH,0,250
y1,10,I,H,IH,0,269
y1,11,I,H,IH,0,166
y1,13,I,H,IH,0,238
y1,14,I,H,IH,0,412
y1,15,I,H,IH,0,220
y1,16,I,H,IH,0,101
y1,17,I,H,IH,0,100
y1,18,I,H,IH,0,282
y1,19,I,H,IH,0,203
y1,21,V,H,VH,0,384
y1,22,V,H,VH,0,244
y1,35,V,H,VH,0,168
y1,38,V,H,VH,0,154
y1,39,V,H,VH,0,187
y1,42,I,L,IL,0,157
y1,44,I,L,IL,0,348
y1,45,I,L,IL,0,212
y1,46,I,L,IL,0,83
y1,49,I,L,IL,0,150
y1,55,I,L,IL,0,226
y1,56,I,L,IL,0,408
y1,59,I,L,IL,0,325
y1,61,V,L,VL,0,215
y1,62,V,L,VL,0,217
y1,66,V,L,VL,0,258
y1,68,V,L,VL,0,226
y1,73,V,L,VL,0,161
y1,76,V,L,VL,0,333
y1,80,V,L,VL,0,282
y10,1,V,H,VH,0,244
y10,2,V,H,VH,0,105
y10,3,V,H,VH,0,186
y10,4,V,H,VH,0,281
y10,6,V,H,VH,0,382
y10,7,V,H,VH,0,243
y10,8,V,H,VH,0,309
y10,9,V,H,VH,0,146
y10,14,V,H,VH,0,197
y10,15,V,H,VH,0,175
y10,16,V,H,VH,0,220
y10,17,V,H,VH,0,219
y10,19,V,H,VH,0,100
y10,21,I,L,IL,0,289
y10,22,I,L,IL,0,128
y10,24,I,L,IL,0,246
y10,26,I,L,IL,0,273
y10,27,I,L,IL,0,253
y10,28,I,L,IL,0,271
y10,29,I,L,IL,0,288
y10,32,I,L,IL,0,360
y10,34,I,L,IL,0,410
y10,35,I,L,IL,0,236
y10,36,I,L,IL,0,295
y10,37,I,L,IL,0,488
y10,38,I,L,IL,0,298
y10,39,I,L,IL,0,509
y10,40,I,L,IL,0,360
y10,41,V,L,VL,0,189
y10,42,V,L,VL,0,179
y10,44,V,L,VL,0,149
y10,46,V,L,VL,0,281
y10,47,V,L,VL,0,289
y10,48,V,L,VL,0,120
y10,49,V,L,VL,0,348
y10,50,V,L,VL,0,205
y10,54,V,L,VL,0,226
y10,55,V,L,VL,0,217
y10,56,V,L,VL,0,232
y10,59,V,L,VL,0,137
y10,61,I,H,IH,0,366
y10,62,I,H,IH,0,452
y10,63,I,H,IH,0,270
y10,64,I,H,IH,0,302
y10,65,I,H,IH,0,209
y10,66,I,H,IH,0,332
y10,67,I,H,IH,0,413
y10,68,I,H,IH,0,453
y10,69,I,H,IH,0,144
y10,70,I,H,IH,0,392
y10,72,I,H,IH,0,239
y10,73,I,H,IH,0,395
y10,74,I,H,IH,0,243
y10,75,I,H,IH,0,325
y10,76,I,H,IH,0,349
y10,77,I,H,IH,0,322
y10,78,I,H,IH,0,386
y10,80,I,H,IH,0,218
y11,1,I,L,IL,0,356
y11,2,I,L,IL,0,444
y11,3,I,L,IL,0,399
y11,4,I,L,IL,0,374
y11,7,I,L,IL,0,563
y11,8,I,L,IL,0,431
y11,9,I,L,IL,0,348
y11,11,I,L,IL,0,458
y11,13,I,L,IL,0,316
y11,14,I,L,IL,0,378
y11,15,I,L,IL,0,262
y11,16,I,L,IL,0,373
y11,19,I,L,IL,0,377
y11,20,I,L,IL,0,251
y11,21,V,L,VL,0,262
y11,22,V,L,VL,0,173
y11,23,V,L,VL,0,262
y11,24,V,L,VL,0,253
y11,25,V,L,VL,0,586
y11,26,V,L,VL,0,415
y11,30,V,L,VL,0,357
y11,31,V,L,VL,0,179
y11,32,V,L,VL,0,235
y11,33,V,L,VL,0,327
y11,35,V,L,VL,0,394
y11,37,V,L,VL,0,272
y11,38,V,L,VL,0,297
y11,39,V,L,VL,0,236
y11,40,V,L,VL,0,262
y11,41,I,H,IH,0,440
y11,44,I,H,IH,0,383
y11,45,I,H,IH,0,373
y11,46,I,H,IH,0,477
y11,47,I,H,IH,0,352
y11,48,I,H,IH,0,498
y11,49,I,H,IH,0,393
y11,50,I,H,IH,0,423
y11,51,I,H,IH,0,155
y11,52,I,H,IH,0,511
y11,53,I,H,IH,0,341
y11,54,I,H,IH,0,389
y11,57,I,H,IH,0,370
y11,59,I,H,IH,0,362
y11,60,I,H,IH,0,352
y11,61,V,H,VH,0,218
y11,62,V,H,VH,0,408
y11,64,V,H,VH,0,285
y11,65,V,H,VH,0,382
y11,68,V,H,VH,0,282
y11,69,V,H,VH,0,223
y11,70,V,H,VH,0,166
y11,71,V,H,VH,0,244
y11,72,V,H,VH,0,295
y11,73,V,H,VH,0,200
y11,74,V,H,VH,0,282
y11,75,V,H,VH,0,277
y11,76,V,H,VH,0,337
y11,77,V,H,VH,0,475
y11,78,V,H,VH,0,187
y11,80,V,H,VH,0,230
y12kth,1,V,L,VL,0,450
y12kth,4,V,L,VL,0,305
y12kth,8,V,L,VL,0,310
y12kth,10,V,L,VL,0,211
y12kth,12,V,L,VL,0,203
y12kth,15,V,L,VL,0,155
y12kth,17,V,L,VL,0,155
y12kth,18,V,L,VL,0,337
y12kth,19,V,L,VL,0,172
y12kth,21,I,H,IH,0,217
y12kth,22,I,H,IH,0,401
y12kth,23,I,H,IH,0,326
y12kth,24,I,H,IH,0,202
y12kth,25,I,H,IH,0,414
y12kth,26,I,H,IH,0,270
y12kth,27,I,H,IH,0,303
y12kth,28,I,H,IH,0,203
y12kth,30,I,H,IH,0,214
y12kth,32,I,H,IH,0,166
y12kth,33,I,H,IH,0,264
y12kth,35,I,H,IH,0,358
y12kth,37,I,H,IH,0,240
y12kth,38,I,H,IH,0,257
y12kth,39,I,H,IH,0,330
y12kth,41,V,H,VH,0,199
y12kth,42,V,H,VH,0,182
