Participant,Item,Preview,Predictability,Condition,FFD,GD
y1,1,I,H,IH,307,307
y1,2,I,H,IH,NA,NA
y1,3,I,H,IH,264,264
y1,6,I,H,IH,244,244
y1,7,I,H,IH,172,172
y1,8,I,H,IH,250,250
y1,9,I,H,IH,NA,NA
y1,10,I,H,IH,269,269
y1,11,I,H,IH,166,166
y1,12,I,H,IH,NA,NA
y1,13,I,H,IH,238,238
y1,14,I,H,IH,412,412
y1,15,I,H,IH,220,220
y1,16,I,H,IH,101,101
y1,17,I,H,IH,100,100
y1,18,I,H,IH,282,282
y1,19,I,H,IH,203,203
y1,21,V,H,VH,384,384
y1,22,V,H,VH,244,244
y1,23,V,H,VH,NA,NA
y1,24,V,H,VH,NA,NA
y1,25,V,H,VH,NA,NA
y1,26,V,H,VH,NA,NA
y1,27,V,H,VH,NA,NA
y1,29,V,H,VH,NA,NA
y1,30,V,H,VH,NA,NA
y1,31,V,H,VH,NA,NA
y1,33,V,H,VH,NA,NA
y1,34,V,H,VH,NA,NA
y1,35,V,H,VH,168,168
y1,37,V,H,VH,NA,NA
y1,38,V,H,VH,154,154
y1,39,V,H,VH,187,187
y1,40,V,H,VH,NA,NA
y1,42,I,L,IL,157,157
y1,44,I,L,IL,348,348
y1,45,I,L,IL,212,212
y1,46,I,L,IL,83,498
y1,47,I,L,IL,NA,NA
y1,48,I,L,IL,NA,NA
y1,49,I,L,IL,150,150
y1,50,I,L,IL,NA,NA
y1,51,I,L,IL,NA,NA
y1,55,I,L,IL,226,226
y1,56,I,L,IL,408,408
y1,58,I,L,IL,NA,NA
y1,59,I,L,IL,325,325
y1,60,I,L,IL,NA,NA
y1,61,V,L,VL,215,215
y1,62,V,L,VL,217,478
y1,63,V,L,VL,NA,NA
y1,65,V,L,VL,NA,NA
y1,66,V,L,VL,258,258
y1,68,V,L,VL,226,226
y1,69,V,L,VL,NA,NA
y1,70,V,L,VL,NA,NA
y1,71,V,L,VL,NA,NA
y1,72,V,L,VL,NA,NA
y1,73,V,L,VL,161,161
y1,74,V,L,VL,NA,NA
y1,75,V,L,VL,NA,NA
y1,76,V,L,VL,333,333
y1,77,V,L,VL,NA,NA
y1,79,V,L,VL,NA,NA
y1,80,V,L,VL,282,282
y10,1,V,H,VH,244,244
y10,2,V,H,VH,105,105
y10,3,V,H,VH,186,186
y10,4,V,H,VH,281,281
y10,5,V,H,VH,NA,NA
y10,6,V,H,VH,382,382
y10,7,V,H,VH,243,243
y10,8,V,H,VH,309,309
y10,9,V,H,VH,146,146
y10,10,V,H,VH,NA,NA
y10,11,V,H,VH,NA,NA
y10,12,V,H,VH,NA,NA
y10,14,V,H,VH,197,317
y10,15,V,H,VH,175,175
y10,16,V,H,VH,220,398
y10,17,V,H,VH,219,219
y10,18,V,H,VH,NA,NA
y10,19,V,H,VH,100,100
y10,20,V,H,VH,NA,NA
y10,21,I,L,IL,289,418
y10,22,I,L,IL,128,128
y10,23,I,L,IL,NA,NA
y10,24,I,L,IL,246,246
y10,25,I,L,IL,NA,NA
y10,26,I,L,IL,273,273
y10,27,I,L,IL,253,667
y10,28,I,L,IL,271,271
y10,29,I,L,IL,288,710
y10,30,I,L,IL,NA,NA
y10,32,I,L,IL,360,360
y10,33,I,L,IL,NA,NA
y10,34,I,L,IL,410,410
y10,35,I,L,IL,236,236
y10,36,I,L,IL,295,295
y10,37,I,L,IL,488,488
y10,38,I,L,IL,298,298
y10,39,I,L,IL,509,509
y10,40,I,L,IL,360,360
y10,41,V,L,VL,189,189
y10,42,V,L,VL,179,179
y10,44,V,L,VL,149,149
y10,45,V,L,VL,NA,NA
y10,46,V,L,VL,281,456
y10,47,V,L,VL,289,289
y10,48,V,L,VL,120,120
y10,49,V,L,VL,348,348
y10,50,V,L,VL,205,449
y10,51,V,L,VL,NA,NA
y10,52,V,L,VL,NA,NA
y10,53,V,L,VL,NA,NA
y10,54,V,L,VL,226,226
y10,55,V,L,VL,217,217
y10,56,V,L,VL,232,232
y10,58,V,L,VL,NA,NA
y10,59,V,L,VL,137,137
y10,61,I,H,IH,366,466
y10,62,I,H,IH,452,452
y10,63,I,H,IH,270,270
y10,64,I,H,IH,302,302
y10,65,I,H,IH,209,209
y10,66,I,H,IH,332,332
y10,67,I,H,IH,413,495
y10,68,I,H,IH,453,453
y10,69,I,H,IH,144,326
y10,70,I,H,IH,392,392
y10,71,I,H,IH,NA,NA
y10,72,I,H,IH,239,239
y10,73,I,H,IH,395,395
y10,74,I,H,IH,243,752
y10,75,I,H,IH,325,325
y10,76,I,H,IH,349,349
y10,77,I,H,IH,322,322
y10,78,I,H,IH,386,386
y10,79,I,H,IH,NA,NA
y10,80,I,H,IH,218,218
y11,1,I,L,IL,356,356
y11,2,I,L,IL,444,444
y11,3,I,L,IL,399,399
y11,4,I,L,IL,374,374
y11,7,I,L,IL,563,563
y11,8,I,L,IL,431,645
y11,9,I,L,IL,348,470
y11,11,I,L,IL,458,458
y11,13,I,L,IL,316,468
y11,14,I,L,IL,378,549
y11,15,I,L,IL,262,262
y11,16,I,L,IL,373,373
y11,19,I,L,IL,377,597
y11,20,I,L,IL,251,493
y11,21,V,L,VL,262,262
y11,22,V,L,VL,173,173
y11,23,V,L,VL,262,262
y11,24,V,L,VL,253,253
y11,25,V,L,VL,586,586
y11,26,V,L,VL,415,415
y11,28,V,L,VL,NA,NA
y11,30,V,L,VL,357,357
y11,31,V,L,VL,179,179
y11,32,V,L,VL,235,235
y11,33,V,L,VL,327,327
y11,35,V,L,VL,394,394
y11,37,V,L,VL,272,272
y11,38,V,L,VL,297,297
y11,39,V,L,VL,236,236
y11,40,V,L,VL,262,262
y11,41,I,H,IH,440,585
y11,44,I,H,IH,383,383
y11,45,I,H,IH,373,373
y11,46,I,H,IH,477,477
y11,47,I,H,IH,352,352
y11,48,I,H,IH,498,498
y11,49,I,H,IH,393,543
y11,50,I,H,IH,423,567
y11,51,I,H,IH,155,401
y11,52,I,H,IH,511,511
y11,53,I,H,IH,341,341
y11,54,I,H,IH,389,389
y11,56,I,H,IH,NA,NA
y11,57,I,H,IH,370,545
y11,59,I,H,IH,362,362
y11,60,I,H,IH,352,510
y11,61,V,H,VH,218,218
y11,62,V,H,VH,408,408
y11,64,V,H,VH,285,285
y11,65,V,H,VH,382,625
y11,67,V,H,VH,NA,NA
y11,68,V,H,VH,282,282
y11,69,V,H,VH,223,223
y11,70,V,H,VH,166,166
y11,71,V,H,VH,244,244
y11,72,V,H,VH,295,295
y11,73,V,H,VH,200,200
y11,74,V,H,VH,282,385
y11,75,V,H,VH,277,277
y11,76,V,H,VH,337,337
y11,77,V,H,VH,475,475
y11,78,V,H,VH,187,187
y11,80,V,H,VH,230,230
y12kth,1,V,L,VL,450,450
y12kth,3,V,L,VL,NA,NA
y12kth,4,V,L,VL,305,632
y12kth,8,V,L,VL,310,310
y12kth,10,V,L,VL,211,211
y12kth,11,V,L,VL,NA,NA
y12kth,12,V,L,VL,203,203
y12kth,14,V,L,VL,NA,NA
y12kth,15,V,L,VL,155,155
y12kth,16,V,L,VL,NA,NA
y12kth,17,V,L,VL,155,155
y12kth,18,V,L,VL,337,337
y12kth,19,V,L,VL,172,172
y12kth,20,V,L,VL,NA,NA
y12kth,21,I,H,IH,217,217
